x;y
136;-113
133;-113
131;-113
129;-113
128;-113
124;-113
123;-113
121;-113
117;-113
115;-113
115;-113
115;-111
115;-105
115;-101
115;-98
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
115;-92
113;-92
111;-92
108;-92
106;-92
105;-92
100;-92
98;-92
95;-92
93;-92
90;-92
90;-92
90;-91
90;-86
90;-83
90;-81
90;-78
90;-77
90;-77
90;-77
90;-77
88;-77
85;-77
83;-77
79;-77
78;-77
76;-77
74;-77
73;-77
69;-77
69;-77
69;-77
69;-75
69;-71
69;-69
68;-67
66;-65
63;-60
62;-57
60;-54
58;-52
53;-49
50;-49
47;-49
44;-49
40;-49
38;-46
36;-42
34;-38
32;-34
31;-27
31;-26
31;-26
31;-26
30;-26
29;-26
25;-26
24;-26
22;-26
20;-26
19;-26
16;-22
14;-19
13;-16
12;-13
12;-7
12;-4
12;-4
12;-4
10;-4
9;-4
6;-4
4;-4
3;-4
1;-4
0;-4
-4;-4
-6;-2
-8;0
-9;2
-9;4
-9;7
-9;10
-9;10
-9;10
-9;10
-9;10
-9;13
-10;14
-11;16
-13;17
-15;19
-16;20
-20;20
-21;20
-23;20
-26;20
-27;20
-29;20
-29;20
-29;20
-29;20
-29;23
-29;27
-29;31
-29;34
-29;41
-29;42
-30;42
-32;42
-34;42
-35;42
-39;42
-41;42
-42;42
-44;42
-46;42
-49;44
-50;48
-50;51
-50;59
-50;62
-50;65
-51;65
-55;65
-57;65
-59;65
-61;65
-63;67
-65;69
-69;72
-73;76
-75;78
-75;80
-75;82
-75;84
-75;86
-75;88
-77;88
-80;88
-81;88
-83;88
-85;88
-86;88
-88;88
-91;88
-92;88
-95;88
-97;88
-98;88
-100;88
-101;88
-104;88
-106;88
-107;88
-109;88
-110;88
-112;88
-115;89
-118;96
-120;99
-122;103
-123;107
-123;110
-123;115
-123;117
-123;120
-123;122
-123;125
