time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;40
504;120;-120;0;40
567;120;-120;0;40
630;120;-120;0;40
693;120;-120;0;40
756;120;-117;0;277
819;120;-108;0;277
882;120;-103;0;277
945;120;-98;0;277
1008;120;-93;0;277
1071;120;-84;0;267
1134;120;-79;0;267
1197;120;-74;0;267
1260;120;-70;0;267
1323;120;-60;0;260
1386;120;-56;0;260
1449;120;-51;0;260
1512;120;-46;0;260
1575;120;-37;0;260
1638;120;-32;0;225
1701;120;-29;0;225
1764;120;-25;0;225
1827;120;-19;0;225
1890;120;-15;0;225
1953;120;-12;0;225
2016;120;-8;0;244
2079;120;1;0;244
2142;120;5;0;244
2205;120;10;0;244
2268;120;15;0;244
2331;120;21;0;193
2394;120;24;0;193
2457;120;27;0;193
2520;120;30;0;193
2583;120;36;0;183
2646;120;39;0;183
2709;120;41;0;183
2772;120;44;0;183
2835;120;49;0;183
2898;120;51;0;172
2961;120;54;0;172
3024;120;56;0;172
3087;120;61;0;172
3150;120;64;0;172
3213;120;66;0;193
3276;120;69;0;193
3339;120;75;0;193
3402;120;78;0;193
3465;120;81;0;193
3528;120;84;0;177
3591;120;89;0;177
3654;120;92;0;177
3717;120;94;0;177
3780;120;97;0;177
3843;120;101;0;111
3906;120;102;0;111
3969;120;104;0;111
4032;120;105;0;111
4095;120;108;0;86
4158;120;108;0;86
4221;120;108;0;86
4284;120;108;0;86
4347;120;108;0;86
4410;120;108;0;86
4473;120;109;0;114
4536;120;111;0;114
4599;120;114;0;114
4662;120;115;0;114
4725;120;117;0;114
4788;120;118;0;114
4851;120;119;0;33
4914;120;119;0;33
4977;120;119;0;33
5040;120;119;0;33
5103;120;119;0;0
5166;120;119;0;0
5229;120;119;0;0
5292;120;119;0;0
5355;120;119;0;0
5418;120;119;0;0
5481;120;119;0;0
5544;120;119;0;0
5607;120;119;0;0
5670;120;119;0;0
5733;120;119;0;0
5796;120;119;0;0
5859;120;119;0;0
5922;120;119;0;0
5985;120;119;0;0
6048;120;119;0;0
6111;120;119;0;0
6174;120;119;-47;0
6237;120;119;-47;0
6300;120;119;-47;0
6363;120;119;-47;-39
6426;120;119;-47;-39
6489;120;119;-47;-39
6552;120;119;-72;-39
6615;120;119;-72;-39
6678;120;119;-72;-85
6741;120;119;-72;-85
6804;120;119;-72;-85
6867;120;119;-101;-85
6930;120;119;-101;-85
6993;120;119;-101;-88
7056;120;119;-101;-88
7119;119;119;-128;-88
7182;117;119;-128;-88
7245;115;119;-128;-88
7308;114;119;-128;-106
7371;110;119;-128;-106
7434;108;119;-159;-106
7497;106;119;-159;-106
7560;103;119;-159;-106
7623;99;115;-159;-199
7686;96;111;-159;-199
7749;94;108;-64;-199
7812;94;105;-64;-199
7875;94;98;-64;-252
7938;94;93;-64;-252
8001;94;88;-64;-252
8064;94;84;-92;-252
8127;94;74;-92;-252
8190;94;69;-92;-76
8253;94;69;-92;-76
8316;94;69;-92;-76
8379;92;69;-169;-76
8442;90;69;-169;-76
8505;87;69;-169;-76
8568;82;66;-169;-126
8631;80;64;-169;-126
8694;77;62;-153;-126
8757;75;61;-153;-126
8820;73;59;-153;-126
8883;69;53;-153;-202
8946;67;49;-153;-202
9009;65;46;-127;-202
9072;64;43;-127;-202
9135;60;37;-127;-112
9198;59;36;-127;-112
9261;57;34;-127;-112
9324;55;33;-170;-112
9387;49;30;-170;-112
9450;47;29;-170;-92
9513;45;29;-170;-92
9576;42;29;-170;-92
9639;37;29;-176;-92
9702;34;29;-176;-92
9765;31;29;-176;-134
9828;29;27;-176;-134
9891;24;23;-125;-134
9954;22;22;-125;-134
10017;20;20;-125;-134
10080;19;18;-125;-225
10143;15;11;-125;-225
10206;14;8;-153;-225
10269;12;5;-153;-225
10332;10;2;-153;-225
10395;5;-2;-153;-122
10458;3;-4;-153;-122
10521;1;-6;-143;-122
10584;0;-8;-143;-122
10647;-4;-11;-143;-122
10710;-6;-13;-143;-145
10773;-8;-15;-143;-145
10836;-10;-17;-143;-145
10899;-14;-21;-159;-145
10962;-16;-23;-159;-145
11025;-19;-25;-159;-149
11088;-21;-27;-159;-149
11151;-25;-31;-133;-149
11214;-26;-34;-133;-149
11277;-28;-36;-133;-149
11340;-30;-38;-133;-164
11403;-33;-43;-133;-164
11466;-35;-45;-123;-164
11529;-37;-48;-123;-164
11592;-38;-51;-123;-164
11655;-42;-56;-123;-166
11718;-43;-58;-123;-166
11781;-45;-61;-125;-166
11844;-47;-63;-125;-166
11907;-50;-68;-125;-166
11970;-52;-71;-125;-126
12033;-54;-72;-125;-126
12096;-58;-76;-154;-126
12159;-60;-77;-154;-126
12222;-62;-79;-154;-126
12285;-64;-81;-154;-124
12348;-68;-84;-167;-124
12411;-71;-86;-167;-124
12474;-73;-88;-167;-124
12537;-76;-89;-167;-124
12600;-78;-91;-167;-105
12663;-83;-91;-155;-105
12726;-85;-91;-155;-105
12789;-88;-91;-155;-105
12852;-90;-91;-155;-105
12915;-94;-93;-155;-159
12978;-96;-95;-155;-159
13041;-97;-97;-105;-159
13104;-97;-100;-105;-159
13167;-97;-105;-105;-159
13230;-97;-107;-105;-186
13293;-97;-110;-105;-186
13356;-97;-115;-54;-186
13419;-97;-118;-54;-186
13482;-97;-120;-54;-186
13545;-97;-121;-54;-77
13608;-97;-121;-54;-77
13671;-100;-121;-150;-77
13734;-103;-121;-150;-77
13797;-105;-121;-150;-77
13860;-107;-121;-150;-88
13923;-111;-121;-103;-88
13986;-111;-121;-103;-88
14049;-111;-121;-103;-88
14112;-111;-121;-103;-88
14175;-111;-121;-103;-88
14238;-111;-121;-52;-88
14301;-111;-121;-52;-88
14364;-111;-121;-52;-88
14427;-111;-121;-52;-50
14490;-111;-121;-52;-50
14553;-111;-121;-52;-50
14616;-111;-121;-28;-50
14679;-111;-121;-28;-50
14742;-111;-121;-28;-39
14805;-111;-121;-28;-39
14868;-111;-121;0;-39
14931;-111;-121;0;-39
14994;-111;-121;0;-39
15057;-111;-121;0;-39
15120;-111;-121;0;0
15183;-111;-121;0;0
15246;-111;-121;0;0
15309;-111;-121;0;0
15372;-111;-121;0;0
15435;-111;-121;0;0
15498;-111;-121;0;0
15561;-111;-121;0;0
15624;-111;-121;0;0
15687;-111;-121;0;-26
15750;-111;-121;0;-26
15813;-111;-121;0;-26
15876;-111;-121;0;-26
15939;-111;-121;0;-26
16002;-110;-121;162;0
16065;-107;-121;162;0
16128;-102;-121;162;0
16191;-100;-121;162;0
16254;-97;-121;162;0
16317;-95;-121;192;0
16380;-88;-121;192;0
16443;-85;-121;192;0
16506;-82;-121;192;0
16569;-75;-121;208;0
16632;-72;-121;208;0
16695;-69;-121;208;0
16758;-66;-121;208;0
16821;-59;-121;208;0
16884;-56;-121;235;0
16947;-53;-121;235;0
17010;-49;-121;235;0
17073;-42;-121;235;0
17136;-39;-121;235;0
17199;-36;-121;233;0
17262;-32;-121;233;0
17325;-26;-121;233;0
17388;-23;-121;233;0
17451;-19;-121;233;0
17514;-16;-121;233;0
17577;-13;-121;233;-26
17640;-4;-121;265;-26
17703;0;-121;265;-26
17766;5;-121;265;-26
17829;10;-121;265;-26
17892;18;-121;229;0
17955;21;-121;229;0
18018;25;-121;229;0
18081;31;-121;229;0
18144;35;-121;229;0
18207;38;-121;209;0
18270;41;-121;209;0
18333;45;-121;209;0
18396;48;-121;209;0
18459;54;-121;209;0
18522;58;-121;190;0
18585;61;-121;190;0
18648;67;-121;190;0
18711;70;-121;190;0
18774;74;-121;190;-44
18837;77;-121;188;-44
18900;82;-121;188;-44
18963;84;-121;188;-44
19026;87;-121;188;-44
19089;92;-121;180;-39
19152;94;-121;180;-39
19215;97;-121;180;-39
19278;99;-121;180;-39
19341;102;-121;180;-39
19404;107;-121;180;-46
19467;110;-121;177;-46
19530;112;-121;177;-46
19593;115;-121;177;-46
19656;117;-121;177;-46
19719;122;-121;177;0
19782;122;-121;0;0
19845;122;-121;0;0
19908;122;-121;0;0
19971;122;-121;0;0
20034;122;-121;0;0
20097;122;-121;0;0
20160;122;-121;0;0
20223;122;-121;0;0
20286;122;-121;0;0
20349;122;-121;0;0
20412;122;-121;0;0
20475;122;-121;0;0
20538;122;-121;0;0
20601;122;-121;0;0
20664;122;-121;0;0
20727;122;-121;0;0
20790;122;-121;0;0
20853;122;-121;0;0
20916;122;-121;0;0
20979;122;-121;0;0
21042;122;-121;0;0
21105;122;-121;0;0
21168;122;-121;0;0
21231;122;-121;0;29
21294;122;-121;0;29
21357;122;-121;0;29
21420;122;-121;0;29
21483;122;-121;0;29
21546;122;-121;0;41
21609;122;-121;0;41
21672;122;-121;0;41
21735;122;-121;0;41
21798;122;-121;0;41
21861;122;-121;0;41
21924;122;-121;0;90
21987;122;-121;0;90
22050;122;-121;0;90
22113;122;-121;0;90
22176;122;-121;0;90
22239;122;-121;0;90
22302;122;-121;0;90
22365;122;-121;0;90
22428;122;-121;-38;90
22491;122;-121;-38;123
22554;122;-119;-38;123
22617;122;-117;-38;123
22680;122;-114;-49;123
22743;122;-112;-49;123
22806;122;-111;-49;60
22869;122;-111;-49;60
22932;122;-111;-49;60
22995;122;-111;-95;60
23058;122;-111;-95;60
23121;122;-111;-95;0
23184;122;-111;-95;0
23247;122;-111;-95;0
23310;122;-111;-152;0
23373;120;-111;-152;0
23436;115;-111;-152;0
23499;113;-111;-152;0
23562;110;-111;-152;0
23625;108;-111;-178;0
23688;102;-111;-178;95
23751;99;-111;-178;95
23814;97;-111;-178;95
23877;91;-111;-178;95
23940;91;-111;-58;95
24003;91;-111;-58;95
24066;91;-109;-58;223
24129;91;-106;-58;223
24192;91;-99;-58;223
24255;91;-96;-70;223
24318;91;-92;-70;223
24381;91;-90;-70;177
24444;91;-84;-70;177
24507;91;-82;-70;177
24570;90;-79;-140;177
24633;86;-76;-140;0
24696;84;-76;-140;0
24759;82;-76;-140;0
24822;80;-76;-140;0
24885;74;-76;-197;0
24948;74;-76;-197;0
25011;68;-73;-197;140
25074;65;-71;-197;140
25137;62;-69;-197;140
25200;59;-65;-78;140
25263;59;-62;-78;282
25326;59;-57;-78;282
25389;59;-53;-78;282
25452;59;-43;-97;282
25515;59;-38;-97;282
25578;59;-34;-97;41
25641;59;-34;-97;41
25704;59;-34;-97;41
25767;59;-34;-231;41
25830;55;-34;-231;41
25893;48;-34;-231;0
25956;48;-34;-231;0
26019;40;-34;-231;0
26082;37;-34;-231;0
26145;34;-34;-173;0
26208;29;-31;-173;215
26271;27;-28;-173;215
26334;22;-22;-173;215
26397;21;-18;-90;215
26460;21;-18;-90;215
26523;21;-11;-90;269
26586;21;-1;-90;269
26649;21;-1;-90;269
26712;20;7;-196;269
26775;16;12;-196;269
26838;13;14;-196;-69
26901;11;14;-196;-69
26964;5;14;-196;-69
27027;2;14;-167;-69
27090;0;14;-167;-69
27153;-2;14;-167;0
27216;-6;14;-167;86
27279;-9;14;-167;86
27342;-11;14;-167;86
27405;-13;14;-106;86
27468;-13;15;-106;220
27531;-13;18;-106;220
27594;-13;21;-106;220
27657;-13;28;-141;220
27720;-15;31;-141;220
27783;-17;34;-141;99
27846;-19;34;-141;99
27909;-21;34;-141;99
27972;-25;34;-256;99
28035;-29;34;-256;99
28098;-33;34;-256;0
28161;-40;34;-256;0
28224;-40;34;-256;0
28287;-48;34;-256;0
28350;-51;34;-191;0
28413;-54;34;-191;0
28476;-59;42;-191;287
28539;-61;47;-191;287
28602;-63;51;-191;287
28665;-66;60;-111;287
28728;-68;61;-111;0
28791;-69;61;-111;0
28854;-71;61;-111;0
28917;-72;61;-111;0
28980;-75;61;-184;0
29043;-80;61;-184;0
29106;-83;61;-184;0
29169;-89;61;-184;0
29232;-92;61;-135;0
29295;-94;61;-135;0
29358;-96;63;-135;332
29421;-97;66;-135;332
29484;-101;73;-135;332
29547;-102;77;-33;332
29610;-102;81;-33;332
29673;-102;86;-33;168
29736;-102;89;-33;168
29799;-102;91;-33;168
29862;-102;94;0;168
29925;-102;96;0;168
29988;-102;98;0;0
30051;-102;98;0;0
30114;-102;98;0;0
30177;-102;98;-32;0
30240;-102;98;-32;61
30303;-102;98;-32;61
30366;-102;98;-32;61
30429;-102;98;-32;61
30492;-102;98;-60;61
30555;-102;98;-60;61
30618;-102;100;-60;130
30681;-102;102;-60;130
30744;-102;105;-60;130
30807;-102;107;-77;130
30870;-102;109;-77;130
30933;-102;113;-77;163
30996;-102;113;-77;163
31059;-102;118;-77;163
31122;-102;121;-51;163
31185;-102;124;-51;0
31248;-102;124;-51;0
31311;-102;124;-51;0
31374;-102;124;-51;0
31437;-103;124;-144;0
31500;-105;124;-144;-45
31563;-109;124;-144;-45
31626;-111;124;-144;-45
31689;-113;124;-144;-45
31752;-114;124;-106;-74
31815;-114;124;-106;-74
31878;-114;124;-106;-74
31941;-114;124;-106;-74
32004;-114;124;-37;-74
32067;-114;124;-37;-70
32130;-114;124;-37;-70
32193;-114;124;-37;-70
32256;-114;124;-37;-70
32319;-114;124;-46;-70
32382;-114;124;-46;-62
32445;-114;124;-46;-62
32508;-114;124;-46;-62
32571;-114;124;-46;-62
32634;-114;124;-46;-62
32697;-114;124;-57;-62
32760;-114;118;-57;-201
32823;-114;115;-57;-201
32886;-114;108;-57;-201
32949;-114;108;-57;-201
33012;-114;101;-64;-305
33075;-114;98;-64;-305
33138;-114;94;-64;-305
33201;-114;90;-64;-305
33264;-114;83;-29;-305
33327;-114;78;-29;-255
33390;-114;74;-29;-255
33453;-114;69;-29;-255
33516;-114;59;-29;-255
33579;-114;54;-28;-255
33642;-114;50;-28;-279
33705;-114;45;-28;-279
33768;-114;35;-28;-279
33831;-114;30;-28;-279
33894;-114;26;0;-279
33957;-114;21;0;-287
34020;-114;14;0;-287
34083;-114;11;0;-287
34146;-114;7;0;-287
34209;-114;3;0;-287
34272;-114;-3;0;-312
34335;-114;-7;0;-312
34398;-114;-10;0;-312
34461;-114;-14;0;-312
34524;-114;-21;0;-295
34587;-114;-25;0;-295
34650;-114;-29;0;-295
34713;-114;-32;0;-295
34776;-114;-39;0;-295
34839;-114;-43;0;-295
34902;-114;-47;0;-283
34965;-114;-50;0;-283
35028;-114;-57;0;-283
35091;-114;-61;0;-283
35154;-114;-65;0;-283
35217;-114;-68;0;-283
35280;-114;-72;0;-218
35343;-114;-79;0;-218
35406;-114;-82;0;-218
35469;-114;-89;-26;-218
35532;-114;-90;-26;-103
35595;-114;-90;-26;-103
35658;-114;-90;-26;-103
35721;-114;-90;-26;-103
35784;-114;-90;0;-103
35847;-114;-91;0;-117
35910;-114;-92;0;-117
35973;-114;-94;0;-117
36036;-114;-97;0;-117
36099;-114;-98;0;-117
36162;-114;-100;0;-158
36225;-114;-104;0;-158
36288;-114;-106;0;-158
36351;-114;-108;0;-158
36414;-114;-110;0;-158
36477;-114;-112;0;-118
36540;-114;-115;0;-118
36603;-114;-117;0;-118
36666;-114;-118;-35;-118
36729;-114;-120;-35;-118
36792;-114;-121;-35;0
36855;-114;-121;-35;0
36918;-114;-121;-35;0
36981;-114;-121;0;0
37044;-114;-121;0;0
37107;-114;-121;0;0
37170;-114;-121;0;0
37233;-114;-121;0;0
37296;-114;-121;0;0
37359;-114;-121;0;0
37422;-114;-121;0;0
37485;-114;-121;0;0
37548;-114;-121;0;0
37611;-112;-121;283;0
37674;-108;-121;283;0
37737;-101;-121;283;-36
37800;-97;-121;283;-36
37863;-93;-121;283;-36
37926;-90;-121;506;-36
37989;-86;-121;506;-36
38052;-82;-121;506;-36
38115;-75;-121;506;0
38178;-71;-121;506;0
