x;y
-114;-121
-112;-121
-108;-121
-101;-121
-97;-121
-93;-121
-90;-121
-86;-121
-82;-121
-75;-121
-71;-121
-64;-121
-60;-121
-57;-121
-53;-121
-49;-121
-42;-121
-38;-121
-35;-121
-31;-121
-24;-121
-20;-121
-17;-121
-9;-121
-6;-121
-2;-121
1;-121
4;-121
12;-121
15;-121
23;-121
23;-121
30;-121
34;-121
37;-121
41;-121
48;-121
52;-121
59;-121
59;-121
63;-121
70;-121
74;-121
81;-121
85;-121
88;-121
95;-121
99;-121
103;-121
106;-121
110;-121
114;-121
121;-121
125;-121
128;-121
132;-121
136;-121
