x;y
120;-120
120;-117
120;-108
120;-103
120;-98
120;-93
120;-84
120;-79
120;-74
120;-70
120;-60
120;-56
120;-51
120;-46
120;-37
120;-32
120;-29
120;-25
120;-19
120;-15
120;-12
120;-8
120;1
120;5
120;10
120;15
120;21
120;24
120;27
120;30
120;36
120;39
120;41
120;44
120;49
120;51
120;54
120;56
120;61
120;64
120;66
120;69
120;75
120;78
120;81
120;84
120;89
120;92
120;94
120;97
120;101
120;102
120;104
120;105
120;108
120;108
120;108
120;108
120;108
120;108
120;109
120;111
120;114
120;115
120;117
120;118
120;119
