x;y
-114;124
-114;118
-114;115
-114;108
-114;108
-114;101
-114;98
-114;94
-114;90
-114;83
-114;78
-114;74
-114;69
-114;59
-114;54
-114;50
-114;45
-114;35
-114;30
-114;26
-114;21
-114;14
-114;11
-114;7
-114;3
-114;-3
-114;-7
-114;-10
-114;-14
-114;-21
-114;-25
-114;-29
-114;-32
-114;-39
-114;-43
-114;-47
-114;-50
-114;-57
-114;-61
-114;-65
-114;-68
-114;-72
-114;-79
-114;-82
-114;-89
-114;-90
-114;-90
-114;-90
-114;-90
-114;-90
-114;-91
-114;-92
-114;-94
-114;-97
-114;-98
-114;-100
-114;-104
-114;-106
-114;-108
-114;-110
-114;-112
-114;-115
-114;-117
-114;-118
-114;-120
-114;-121
